;UUID;Protokoll;URL
5;36a55486-04be-4533-9936-9c05407114a1;OGC:WMTS;http://wmts.geo.admin.ch/1.0.0/WMTSCapabilities.xml
0;8dc1e2a5-eab0-467a-a570-d994830f8340;WWW:LINK;http://www.karch.ch/karch/Amphibienwanderung
1;8dc1e2a5-eab0-467a-a570-d994830f8340;WWW:DOWNLOAD-URL;http://data.geo.admin.ch/ch.bafu.amphibienwanderung-verkehrskonflikte/data.zip
2;8dc1e2a5-eab0-467a-a570-d994830f8340;CHTOPO:specialised-geoportal;http://map.bafu.admin.ch
0;150c38c5-2650-4018-b5c7-939e2cdd56ce;WWW:LINK;https://www.cadastre.ch/de/services/service/registry/building.html
1;150c38c5-2650-4018-b5c7-939e2cdd56ce;WWW:DOWNLOAD-URL;https://www.cadastre.ch/de/services/service/registry/building.html
2;150c38c5-2650-4018-b5c7-939e2cdd56ce;CHTOPO:specialised-geoportal;https://www.cadastre.ch/de/services/service/registry/building.html
3;150c38c5-2650-4018-b5c7-939e2cdd56ce;;https://data.geo.admin.ch/ch.swisstopo.amtliches-gebaeudeadressverzeichnis
0;caf39a72-92be-4bd1-a976-4eaaeb770a44;WWW:DOWNLOAD-URL;https://www.cadastre.ch/de/services/service/registry/street.html
1;caf39a72-92be-4bd1-a976-4eaaeb770a44;OGC:WMS;https://wms.geo.admin.ch/?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetCapabilities
2;caf39a72-92be-4bd1-a976-4eaaeb770a44;WWW:LINK;https://www.cadastre.ch/de/services/service/registry/street.html
3;caf39a72-92be-4bd1-a976-4eaaeb770a44;CHTOPO:specialised-geoportal;https://www.cadastre.ch/de/services/service/registry/street.html
4;caf39a72-92be-4bd1-a976-4eaaeb770a44;CHTOPO:specialised-geoportal;https://data.geo.admin.ch/ch.swisstopo.amtliches-strassenverzeichnis/
0;dda92878-86a1-4191-a073-9721671d6bc1;WWW:LINK;https://www.bav.admin.ch/bav/de/home/themen-a-z/schienengueterverkehr-in-der-flaeche.html
1;dda92878-86a1-4191-a073-9721671d6bc1;WWW:DOWNLOAD-URL;https://data.geo.admin.ch/ch.bav.anlagen-schienengueterverkehr/
2;dda92878-86a1-4191-a073-9721671d6bc1;ESRI:REST;https://api3.geo.admin.ch
0;cff2a951-b5ec-4a51-a0f2-f89dd90e5782;WWW:LINK;https://shop.swisstopo.admin.ch/de/products/maps/geology/GK500/GK500_PAPER
1;cff2a951-b5ec-4a51-a0f2-f89dd90e5782;CHTOPO:specialised-geoportal;http://map.geologieportal.ch
2;cff2a951-b5ec-4a51-a0f2-f89dd90e5782;OGC:WMTS;https://wmts.geo.admin.ch/1.0.0/WMTSCapabilities.xml
0;1d7e059a-3d60-4876-905c-722cb469ac1d;WWW:LINK;https://www.bakom.admin.ch/bakom/de/home/frequenzen-antennen/standorte-von-sendeanlagen.html
1;1d7e059a-3d60-4876-905c-722cb469ac1d;CHTOPO:specialised-geoportal;https://map.geo.admin.ch/?topic=funksender&lang=de&bgLayer=ch.swisstopo.pixelkarte-farbe&layers=ch.bakom.radio-fernsehsender,ch.bakom.mobil-antennenstandorte-gsm,ch.bakom.mobil-antennenstandorte-umts,ch.bakom.mobil-antennenstandorte-lte&catalogNodes=403,408
2;1d7e059a-3d60-4876-905c-722cb469ac1d;WWW:DOWNLOAD-URL;https://data.geo.admin.ch/ch.bakom.mobil-antennenstandorte-gsm/
3;1d7e059a-3d60-4876-905c-722cb469ac1d;ESRI:REST;https://api3.geo.admin.ch
0;43814de7-42b6-4f33-a4d5-cdca8ca0d6cd;WWW:LINK;https://www.bakom.admin.ch/bakom/de/home/frequenzen-antennen/standorte-von-sendeanlagen.html
1;43814de7-42b6-4f33-a4d5-cdca8ca0d6cd;CHTOPO:specialised-geoportal;https://map.geo.admin.ch/?topic=funksender&lang=de&bgLayer=ch.swisstopo.pixelkarte-farbe&layers=ch.bakom.radio-fernsehsender,ch.bakom.mobil-antennenstandorte-gsm,ch.bakom.mobil-antennenstandorte-umts,ch.bakom.mobil-antennenstandorte-lte&catalogNodes=403,408
2;43814de7-42b6-4f33-a4d5-cdca8ca0d6cd;WWW:DOWNLOAD-URL;https://data.geo.admin.ch/ch.bakom.mobil-antennenstandorte-5g/
3;43814de7-42b6-4f33-a4d5-cdca8ca0d6cd;ESRI:REST;https://api3.geo.admin.ch
0;4399b61b-23d9-49a8-ba8b-dd2452adbc7c;WWW:LINK;https://www.bakom.admin.ch/bakom/de/home/frequenzen-antennen/standorte-von-sendeanlagen.html
1;4399b61b-23d9-49a8-ba8b-dd2452adbc7c;CHTOPO:specialised-geoportal;https://map.geo.admin.ch/?topic=funksender&lang=de&bgLayer=ch.swisstopo.pixelkarte-farbe&layers=ch.bakom.radio-fernsehsender,ch.bakom.mobil-antennenstandorte-gsm,ch.bakom.mobil-antennenstandorte-umts,ch.bakom.mobil-antennenstandorte-lte&catalogNodes=403,408
2;4399b61b-23d9-49a8-ba8b-dd2452adbc7c;WWW:DOWNLOAD-URL;https://data.geo.admin.ch/ch.bakom.mobil-antennenstandorte-lte/
3;4399b61b-23d9-49a8-ba8b-dd2452adbc7c;ESRI:REST;https://api3.geo.admin.ch
0;312ddf6a-52b1-4bd9-9610-f0e3707dedff;WWW:LINK;https://www.bakom.admin.ch/bakom/de/home/frequenzen-antennen/standorte-von-sendeanlagen.html
1;312ddf6a-52b1-4bd9-9610-f0e3707dedff;CHTOPO:specialised-geoportal;https://map.geo.admin.ch/?topic=funksender&lang=de&bgLayer=ch.swisstopo.pixelkarte-farbe&layers=ch.bakom.radio-fernsehsender,ch.bakom.mobil-antennenstandorte-gsm,ch.bakom.mobil-antennenstandorte-umts,ch.bakom.mobil-antennenstandorte-lte&catalogNodes=403,408
2;312ddf6a-52b1-4bd9-9610-f0e3707dedff;WWW:DOWNLOAD-URL;https://data.geo.admin.ch/ch.bakom.mobil-antennenstandorte-umts/
3;312ddf6a-52b1-4bd9-9610-f0e3707dedff;ESRI:REST;https://api3.geo.admin.ch
0;a889473d-cbe4-454c-838b-aac6b174e46e;WWW:LINK;https://www.bafu.admin.ch/bafu/de/home/themen/naturgefahren/fachinformationen/naturgefahrensituation-und-raumnutzung/gefahrengrundlagen/aquaprotect.html
