;concept-cat_id;de;fr;it;en;all_nr;all_pub_unpub;harvested_nr (valid=-1)
http://custom.shared.obj.ch/concept#4deec269-f678-4eac-8d6c-9690ba6a32be;4deec269-f678-4eac-8d6c-9690ba6a32be;Oberfläche;surface;superficie;surface;3;3;0
http://geocat.ch/concept#279;279;Topografie;topographie;topografia;topography;69;77;2
http://geocat.ch/concept#198;198;Nummerierungsbereich;domaine de numérotation;area di numerazione;numbering range;42;42;0
http://geocat.ch/concept#278;278;Toleranzstufe;niveau de tolérance;grado di tolleranza;tolerance level;25;25;0
http://geocat.ch/concept#1;1;3D Simulation;simulation 3D;simulazione 3D;3D simulation;12;12;0
http://geocat.ch/concept#277;277;Swiss Positioning Service SWIPOS;swiss positioning service SWIPOS;swiss positioning service SWIPOS;swiss positioning service SWIPOS;2;2;0
http://geocat.ch/concept#125;125;Grundeigentum;propriété foncière;proprietà fondiaria;landed property;10;11;0
http://custom.shared.obj.ch/concept#f735b5d1-f934-41b9-9e85-7f8d6fd5180e;f735b5d1-f934-41b9-9e85-7f8d6fd5180e;Stromnetz;réseau électrique;rete elettrica;power grid;54;57;0
http://custom.shared.obj.ch/concept#49a51182-cc70-4ccd-b8ff-e418ca2fdfa5;49a51182-cc70-4ccd-b8ff-e418ca2fdfa5;Nutzungsplanung;planification de l'utilisation du sol;pianificazione dell'utilizzazione;land use planning;244;246;10
http://custom.shared.obj.ch/concept#0ba7f8c2-9f03-45c3-b900-52389caaca40;0ba7f8c2-9f03-45c3-b900-52389caaca40;Störfallvorsorge;prévention des accidents;antinfortunistica;accident prevention;1;1;0
http://custom.shared.obj.ch/concept#bf17fc51-05ae-48cd-a8ad-c664ef880d2a;bf17fc51-05ae-48cd-a8ad-c664ef880d2a;Störfall;accident majeur;incidente rilevante;major accident;9;9;0
http://geocat.ch/concept#283;283;Transformation;transformation;trasformazione;transformation;9;9;0
http://geocat.ch/concept#245;245;Schutzbau;ouvrage de protection;opera di protezione;protection structure;10;10;0
http://www.geocat.ch/concept#94e3e974-8246-45e9-a6f4-487302293320;94e3e974-8246-45e9-a6f4-487302293320;Defibrillator;defibrillateur;defibrillatore;defibrillator;1;1;0
http://custom.shared.obj.ch/concept#c61bd245-02a7-49df-a7b0-9cb710d9b945;c61bd245-02a7-49df-a7b0-9cb710d9b945;Bruchlinie;ligne de faille;linee di faglia;faults;3;3;0
http://geocat.ch/concept#115;115;GIS (Geografisches Informationssystem);SIG (Système d'Information Géographique);SIG (Sistema Informativo Geografico);GIS (Geographic Information System);66;69;1
http://geocat.ch/concept#281;281;Toponymie;toponymie;toponomastica;toponymy;7;7;0
http://custom.shared.obj.ch/concept#ef05f5a1-36e6-4e9e-8ec6-b365e4a6cdd2;ef05f5a1-36e6-4e9e-8ec6-b365e4a6cdd2;Abbaustelle;mine;mina;mine;1;2;1
http://custom.shared.obj.ch/concept#0e87497e-f298-4bfd-ae20-02fb0a0198f3;0e87497e-f298-4bfd-ae20-02fb0a0198f3;Koordination;coordination;coordinamento;coordination;6;8;0
http://www.geocat.ch/concept#72a9e6ef-99a4-4301-8230-177da3aded5b;72a9e6ef-99a4-4301-8230-177da3aded5b;Geothermie;géothermie;geotermia;geothermal energy;48;57;6
http://geocat.ch/concept#193;193;Nationales Inventar;inventaire national;inventario nazionale;national inventory;1;1;0
http://geocat.ch/concept#59;59;Einzelsignatur;symbole individuel;simbolo individuale;individual Symbol;7;7;0
http://www.geocat.ch/concept#5f8a5303-72bf-4763-9243-209a185ffbc7;5f8a5303-72bf-4763-9243-209a185ffbc7;Veloweg;voie cyclable;ciclopista;cycleway;23;23;0
http://geocat.ch/concept#184;184;Luftfahrt;navigation aérienne;navigazione aerea;air navigation;33;42;0
http://custom.shared.obj.ch/concept#10348ab2-0689-4dbb-a72e-303891a39bc2;10348ab2-0689-4dbb-a72e-303891a39bc2;Planungsinstrument;outil de planification;strumento di pianificazione;planning tool;1;1;0
http://geocat.ch/concept#220;220;Primärfläche;surface primaire;superficie primaria;primary surface;4;4;0
http://geocat.ch/concept#181;181;Lithologie;lithologie;litologia;lithology;20;20;0
