;number;layer;TECHPUBLAYERNAME;uuid
259;260;ch.bafu.schutzgebiete-paerke_nationaler_bedeutung_perimeter (Schweizer Pärke (Perimeter));ch.bafu.schutzgebiete-paerke_nationaler_bedeutung_perimeter;bc4bd921-cec6-4f29-a784-29049c9f8026
260;261;ch.bafu.schutzgebiete-ramsar (Ramsar);ch.bafu.schutzgebiete-ramsar;d960a5c8-44e4-4d10-a9f6-95f58568563c
261;262;ch.bafu.schutzgebiete-schweizerischer_nationalpark (Nationalpark);ch.bafu.schutzgebiete-schweizerischer_nationalpark;d1359dad-6edf-4275-ada0-2e33be8945b2
262;263;ch.bafu.schutzgebiete-smaragd (Smaragd);ch.bafu.schutzgebiete-smaragd;d31b13f3-f68f-4432-a1f8-5344046c2dd2
263;264;ch.bafu.silvaprotect-hangmuren (Hangmuren (SilvaProtect-CH));ch.bafu.silvaprotect-hangmuren;e1f63878-1ddd-4a51-9d3b-f0f077990357
264;265;ch.bafu.silvaprotect-lawinen (Lawinen (SilvaProtect-CH));ch.bafu.silvaprotect-lawinen;8e350471-6259-4142-ad00-d99ddcefd2a4
265;266;ch.bafu.silvaprotect-murgang (Murgang (SilvaProtect-CH));ch.bafu.silvaprotect-murgang;36f3b788-9d79-40f4-a69e-8c742729a745
266;267;ch.bafu.silvaprotect-sturz (Sturz (SilvaProtect-CH));ch.bafu.silvaprotect-sturz;238d97d6-8853-4e26-af30-dc5cbadd58dc
267;268;ch.bafu.silvaprotect-uebersarung (Übersarung (SilvaProtect-CH));ch.bafu.silvaprotect-uebersarung;7c608bf9-bddf-490b-8a46-3415f3c74cf3
268;269;ch.bafu.strukturguete-hochrhein_linkesufer (Strukturgüte Linkes Ufer);ch.bafu.strukturguete-hochrhein_linkesufer;536e1742-182c-4fb3-a067-12899be38afa
269;270;ch.bafu.strukturguete-hochrhein_linkesumfeld (Strukturgüte Linkes Umfeld);ch.bafu.strukturguete-hochrhein_linkesumfeld;9b3f9ceb-3072-410f-b8ab-033ee151991c
270;271;ch.bafu.strukturguete-hochrhein_rechtesufer (Strukturgüte Rechtes Ufer);ch.bafu.strukturguete-hochrhein_rechtesufer;0486c8a6-620b-4983-9e2e-7f91fd42c0d6
271;272;ch.bafu.strukturguete-hochrhein_rechtesumfeld (Strukturgüte Rechtes Umfeld);ch.bafu.strukturguete-hochrhein_rechtesumfeld;0343f09b-8638-4694-91d6-c2b2ba1b124d
272;273;ch.bafu.strukturguete-hochrhein_sohle (Strukturgüte Sohle);ch.bafu.strukturguete-hochrhein_sohle;06c4d44c-2e9a-4ee2-8926-6457bb78dce2
273;274;ch.bafu.sturm-boeenspitzen_100 (Sturmgefährdung Böenspitzen 100);ch.bafu.sturm-boeenspitzen_100;4d1d17aa-2b92-42a9-b847-d6597631a264
274;275;ch.bafu.sturm-boeenspitzen_30 (Sturmgefährdung Böenspitzen 30);ch.bafu.sturm-boeenspitzen_30;83d7e62e-2e5e-4877-8434-93f0cabc6438
275;276;ch.bafu.sturm-boeenspitzen_300 (Sturmgefährdung Böenspitzen 300);ch.bafu.sturm-boeenspitzen_300;a7956843-bc72-4271-b238-72fb4a21baa0
276;277;ch.bafu.sturm-boeenspitzen_50 (Sturmgefährdung Böenspitzen 50);ch.bafu.sturm-boeenspitzen_50;17531a73-040c-4bd8-8d77-3f24c733b37a
277;278;ch.bafu.sturm-staudruck_100 (Sturmgefährdung Staudruck 100);ch.bafu.sturm-staudruck_100;4200db1b-16dd-48bb-8378-75afe4ec002b
278;279;ch.bafu.sturm-staudruck_30 (Sturmgefährdung Staudruck 30);ch.bafu.sturm-staudruck_30;6edc63b6-f56b-4fb6-8ba3-1506bea16ec8
279;280;ch.bafu.sturm-staudruck_300 (Sturmgefährdung Staudruck 300);ch.bafu.sturm-staudruck_300;d416fce6-2319-4afc-9d28-3455083b2f40
280;281;ch.bafu.sturm-staudruck_50 (Sturmgefährdung Staudruck 50);ch.bafu.sturm-staudruck_50;41ace4c6-967d-4b99-b7aa-a0e51bc63611
281;282;ch.bafu.swissprtr (Schadstoff-Freisetzungen (SwissPRTR));ch.bafu.swissprtr;980b541f-f651-439b-ad0c-ec0f7f10e514
282;283;ch.bafu.typisierung-fliessgewaesser (Typisierung Fliessgewässer);ch.bafu.typisierung-fliessgewaesser;50a848cc-fe89-426a-940b-cc409cb4ff50
283;284;ch.bafu.unesco-weltnaturerbe (UNESCO-Welterbe Naturstätten);ch.bafu.unesco-weltnaturerbe;4a571da5-c3af-47fe-99a1-f33fc29d1cd9
284;285;ch.bafu.vec25-gewaessernetz_2000 (Gewässernetz 1:2 Mio.);ch.bafu.vec25-gewaessernetz_2000;30b22e49-7ef5-4fa6-b957-7b38cc3beb27
285;286;ch.bafu.vec25-seen (Seen);ch.bafu.vec25-seen;b3bcb280-b613-4b43-8889-bc386e621e0d
286;287;ch.bafu.wald-standortsregionen (Waldstandortsregionen);ch.bafu.wald-standortsregionen;cea10afc-8e6d-4a57-aeaf-01a49364ed14
287;288;ch.bafu.wald-tannenareale (Tannenareale);ch.bafu.wald-tannenareale;5d6af36c-f883-4421-a2f0-a1934ca60a69
288;289;ch.bafu.wald-vegetationshoehenstufen_1995 (Höhenstufen 1995);ch.bafu.wald-vegetationshoehenstufen_1995;5de3fb01-5d2e-4fbd-9397-a2bcd97977e7
289;290;ch.bafu.wald-vegetationshoehenstufen_2085_trocken (Höhenstufen 2085 trocken);ch.bafu.wald-vegetationshoehenstufen_2085_trocken;e5831dd1-301a-4c5a-aa9d-4d68ea8435ac
290;291;ch.bafu.wald-vegetationshoehenstufen_2085_weniger_trocken (Höhenstufen 2085 mässig trocken);ch.bafu.wald-vegetationshoehenstufen_2085_weniger_trocken;c63a8513-7d77-4e11-9f6f-8d36debb036b
291;292;ch.bafu.wald-wasserverfuegbarkeit_boden (Wasserverfügbarkeit im Boden);ch.bafu.wald-wasserverfuegbarkeit_boden;843579c9-927b-4691-b4b4-aa3a90c98007
292;293;ch.bafu.wald-wasserverfuegbarkeit_pflanzen (Wasserverfügbarkeit für Pflanzen);ch.bafu.wald-wasserverfuegbarkeit_pflanzen;668e4c81-5926-4457-9097-b362244b2660
293;294;ch.bafu.waldreservate (Waldreservate);ch.bafu.waldreservate;4b9ff750-3e52-43e9-80d1-c07c59c469fd
294;295;ch.bafu.waldschadenflaechen-lothar (Sturmschaden Lothar);ch.bafu.waldschadenflaechen-lothar;82f9d51a-7050-4ef2-8bcf-6364967eb845
295;296;ch.bafu.waldschadenflaechen-vivian (Sturmschaden Vivian);ch.bafu.waldschadenflaechen-vivian;34fdf24c-b275-4d48-852b-f79d86358318
296;297;ch.bafu.wasser-entnahme (Wasserentnahme);ch.bafu.wasser-entnahme;a4ecf3a4-9943-4826-a997-9d7523e4d8ad
297;298;ch.bafu.wasser-gebietsauslaesse (Gebietsauslässe);ch.bafu.wasser-gebietsauslaesse;1a4d7eee-5135-4895-a255-e1dfd1fd6ff9
298;299;ch.bafu.wasser-leitungen (Zuleitung);ch.bafu.wasser-leitungen;ae65e4e3-f47b-4544-a3a2-81dbf79d5a73
299;300;ch.bafu.wasser-rueckgabe (Wasserrückgabe);ch.bafu.wasser-rueckgabe;ed1931ac-81bc-4517-9860-80090e530e33
300;301;ch.bafu.wasser-teileinzugsgebiete_2 (Teileinzugsgebiete 2 km²);ch.bafu.wasser-teileinzugsgebiete_2;6d9c8ba5-2532-46ed-bc26-0a4017787a56
301;302;ch.bafu.wasser-teileinzugsgebiete_40 (Teileinzugsgebiete 40 km²);ch.bafu.wasser-teileinzugsgebiete_40;102e547e-6210-46ea-9246-123f966ba9be
302;303;ch.bafu.wasser-vorfluter (Vorfluterabschnitte);ch.bafu.wasser-vorfluter;300a3547-7b21-40a1-85d4-5d5387e81afc
303;304;ch.bafu.wasserbau-querprofilmarken (Querprofilachse);ch.bafu.wasserbau-querprofilmarken;a5bdee12-cbec-4fbd-ba88-91f0d4ae8c10
304;305;ch.bafu.wasserbau-vermessungsstrecken (Vermessungsabschnitt);ch.bafu.wasserbau-vermessungsstrecken;80a307f9-c24b-4ec2-adab-9e0c9e251f88
305;306;ch.bafu.wrz-jagdbanngebiete_select (Wildtierschutzgebiete);ch.bafu.wrz-jagdbanngebiete_select;35f25047-ea29-4422-9497-3dac46e00eb9
306;307;ch.bafu.wrz-wildruhezonen_portal (Wildruhezonen);ch.bafu.wrz-wildruhezonen_portal;4a0c8bc7-89d1-484e-a34a-454a31267c41
